partido,zona,empresa,extracto,iframe
25 de Mayo,Zona 4,Marcalba S.A.,CAÑOS ENTREGADOS |   - 10 caños de chapa corrugada de ø1.000 mm. entregado el 05/09/25 |   - 10 caños de chapa corrugada de ø800 mm. entregado el 05/09/25 |   - 6 caños de hormigón de ø1.000 mm. entregado el 21/10/25 |   - 20 caños de hormigón de ø800 mm. entregado el 21/10/25 | HORAS MÁQUINAS |   - 1355 horas en ejecución desde 04/11/25 |   A cargo de la empresa Marcalba S.A. | BOMBAS | 1 bombas marca EMA 3.200.000 LTS/HR ubicado en Laguna de la Mulita | 2 bombas marca PIVAS 4.000.000 LTS/HR ubicado en Laguna de la Mulita,https://www.google.com/maps/d/embed?mid=1asoFvawFp2dlPnTe7g9fHLWkgpc5J1k&ehbc=2E312F&noprof=1
9 de Julio,Zona 3,Olivo Zamboano S.A.,CAÑOS ENTREGADOS |   - 8 caños de chapa corrugada de ø1.000 mm. entregado el 21/08/25 | CONVENIOS Y EQUIPOS |   - 1 Retroexcavadora con brazo corto desde el 15 de septiembre mediante Prestación de equipos: Limpieza de Canales en el Partido de Nueve de Julio | HORAS MÁQUINAS |   - 312 horas en ejecución desde 10/10/25 |   - 790 horas ejecutadas entre el 11/09/25 y el 10/10/25 |   A cargo de la empresa Olivo Zamboano S.A. | BOMBAS | 2 bombas marca EMA 3.200.000 LTS/HR ubicado en Departamento Zona III 9 de Julio | 6 bombas marca EMA 3.200.000 LTS/HR ubicado en Municipalidad de 9 de Julio,https://www.google.com/maps/d/embed?mid=1W2m9cxourWCxX7LrcfrYm-4Q8cEgoHw&ehbc=2E312F&noprof=1
Adolfo Alsina,Zona 6,Lurovial S.R.L.,BOMBAS | 1 bombas marca PIVAS 2.000.000 LTS/HR ubicado en Calle Peru | 1 bombas marca EMA 3.200.000 LTS/HR ubicado en Calle 20 de Junio | 1 bombas marca EMA 3.200.000 LTS/HR ubicado en Calle Rivadavia Norte,https://www.google.com/maps/d/embed?mid=1hHAG2w4Z74J9wWpMkfOM472db6-dPuY&ehbc=2E312F&noprof=1
Adolfo González Chávez,Zona 5,Gerónimo Rizzo S.A.,,
Alberti,Zona 3,Olivo Zamboano S.A.,CONVENIOS Y EQUIPOS |   - 1 Retroexcavadora con brazo corto desde el 15 de septiembre mediante Prestación de equipos: Limpieza de Canales Semi-Urbanos y Rurales en el Partido de Alberti | HORAS MÁQUINAS |   - 312 horas en ejecución desde 10/10/25 |   A cargo de la empresa Olivo Zamboano S.A.,https://www.google.com/maps/d/embed?mid=1YsSslDj4tkdIbY1qgXKPpf31Q6oK9Fg&ehbc=2E312F&noprof=1
Almirante Brown,Zona 2 (centro),Marcalba S.A.,HORAS MÁQUINAS |   - 300 horas en ejecución desde 01/11/25 |   A cargo de la empresa Marcalba S.A.,https://www.google.com/maps/d/embed?mid=1gB80_v_0X6siQs99CiX1hoji6sye33U&ehbc=2E312F&noprof=1
Avellaneda,Zona 2 (centro),Marcalba S.A.,,
Ayacucho,Zona 5,Gerónimo Rizzo S.A.,,
Azul,Zona 5,Gerónimo Rizzo S.A.,HORAS MÁQUINAS |   - 420 horas en ejecución desde 25/10/25 |   A cargo de la empresa Gerónimo Rizzo S.A.,
Bahía Blanca,Zona 6,Lurovial S.R.L.,CONVENIOS Y EQUIPOS |   - 1 Retroexcavadora con brazo largo desde el 07 de noviembre mediante Obra: Limpieza de canales de desagües pluviales - etapa IV,https://www.google.com/maps/d/embed?mid=13nY63CsL_IuBp9NCmMWuaRmdEX35HIc&ehbc=2E312F&noprof=1
